agent_nr,rate,noise,Self,Other,trial,strategy
1,0.65,0.2,1,0,1,LSWS
1,0.65,0.2,1,1,2,LSWS
1,0.65,0.2,0,1,3,LSWS
1,0.65,0.2,0,1,4,LSWS
1,0.65,0.2,0,0,5,LSWS
1,0.65,0.2,1,1,6,LSWS
1,0.65,0.2,0,0,7,LSWS
1,0.65,0.2,1,1,8,LSWS
1,0.65,0.2,0,0,9,LSWS
1,0.65,0.2,1,1,10,LSWS
1,0.65,0.2,0,0,11,LSWS
1,0.65,0.2,1,1,12,LSWS
1,0.65,0.2,0,0,13,LSWS
1,0.65,0.2,1,1,14,LSWS
1,0.65,0.2,0,1,15,LSWS
1,0.65,0.2,0,0,16,LSWS
1,0.65,0.2,1,0,17,LSWS
1,0.65,0.2,1,1,18,LSWS
1,0.65,0.2,0,1,19,LSWS
1,0.65,0.2,0,0,20,LSWS
1,0.65,0.2,1,1,21,LSWS
1,0.65,0.2,0,0,22,LSWS
1,0.65,0.2,1,1,23,LSWS
1,0.65,0.2,0,0,24,LSWS
1,0.65,0.2,1,0,25,LSWS
1,0.65,0.2,1,1,26,LSWS
1,0.65,0.2,0,1,27,LSWS
1,0.65,0.2,0,1,28,LSWS
1,0.65,0.2,0,0,29,LSWS
1,0.65,0.2,1,0,30,LSWS
1,0.65,0.2,1,1,31,LSWS
1,0.65,0.2,0,0,32,LSWS
1,0.65,0.2,1,1,33,LSWS
1,0.65,0.2,0,1,34,LSWS
1,0.65,0.2,0,1,35,LSWS
1,0.65,0.2,0,0,36,LSWS
1,0.65,0.2,1,1,37,LSWS
1,0.65,0.2,0,1,38,LSWS
1,0.65,0.2,0,0,39,LSWS
1,0.65,0.2,1,1,40,LSWS
1,0.65,0.2,0,1,41,LSWS
1,0.65,0.2,0,1,42,LSWS
1,0.65,0.2,0,0,43,LSWS
1,0.65,0.2,1,1,44,LSWS
1,0.65,0.2,0,1,45,LSWS
1,0.65,0.2,0,1,46,LSWS
1,0.65,0.2,1,1,47,LSWS
1,0.65,0.2,0,0,48,LSWS
1,0.65,0.2,1,0,49,LSWS
1,0.65,0.2,1,1,50,LSWS
1,0.65,0.2,1,1,51,LSWS
1,0.65,0.2,0,1,52,LSWS
1,0.65,0.2,0,1,53,LSWS
1,0.65,0.2,0,1,54,LSWS
1,0.65,0.2,0,1,55,LSWS
1,0.65,0.2,0,1,56,LSWS
1,0.65,0.2,0,1,57,LSWS
1,0.65,0.2,0,1,58,LSWS
1,0.65,0.2,0,0,59,LSWS
1,0.65,0.2,1,1,60,LSWS
1,0.65,0.2,0,1,61,LSWS
1,0.65,0.2,0,0,62,LSWS
1,0.65,0.2,0,0,63,LSWS
1,0.65,0.2,1,0,64,LSWS
1,0.65,0.2,1,1,65,LSWS
1,0.65,0.2,0,1,66,LSWS
1,0.65,0.2,0,1,67,LSWS
1,0.65,0.2,0,1,68,LSWS
1,0.65,0.2,0,1,69,LSWS
1,0.65,0.2,1,0,70,LSWS
1,0.65,0.2,1,1,71,LSWS
1,0.65,0.2,0,1,72,LSWS
1,0.65,0.2,0,1,73,LSWS
1,0.65,0.2,0,0,74,LSWS
1,0.65,0.2,0,1,75,LSWS
1,0.65,0.2,0,1,76,LSWS
1,0.65,0.2,0,1,77,LSWS
1,0.65,0.2,0,0,78,LSWS
1,0.65,0.2,1,1,79,LSWS
1,0.65,0.2,0,0,80,LSWS
1,0.65,0.2,1,0,81,LSWS
1,0.65,0.2,1,1,82,LSWS
1,0.65,0.2,0,1,83,LSWS
1,0.65,0.2,0,1,84,LSWS
1,0.65,0.2,0,1,85,LSWS
1,0.65,0.2,1,1,86,LSWS
1,0.65,0.2,0,1,87,LSWS
1,0.65,0.2,0,0,88,LSWS
1,0.65,0.2,1,0,89,LSWS
1,0.65,0.2,1,1,90,LSWS
1,0.65,0.2,0,1,91,LSWS
1,0.65,0.2,0,0,92,LSWS
1,0.65,0.2,1,1,93,LSWS
1,0.65,0.2,0,1,94,LSWS
1,0.65,0.2,0,1,95,LSWS
1,0.65,0.2,0,0,96,LSWS
1,0.65,0.2,1,1,97,LSWS
1,0.65,0.2,0,1,98,LSWS
1,0.65,0.2,1,1,99,LSWS
1,0.65,0.2,0,1,100,LSWS
1,0.65,0.2,0,0,101,LSWS
1,0.65,0.2,1,1,102,LSWS
1,0.65,0.2,0,1,103,LSWS
1,0.65,0.2,0,1,104,LSWS
1,0.65,0.2,0,1,105,LSWS
1,0.65,0.2,0,1,106,LSWS
1,0.65,0.2,0,0,107,LSWS
1,0.65,0.2,1,1,108,LSWS
1,0.65,0.2,0,1,109,LSWS
1,0.65,0.2,0,0,110,LSWS
1,0.65,0.2,1,1,111,LSWS
1,0.65,0.2,0,0,112,LSWS
1,0.65,0.2,1,1,113,LSWS
1,0.65,0.2,0,1,114,LSWS
1,0.65,0.2,0,1,115,LSWS
1,0.65,0.2,0,1,116,LSWS
1,0.65,0.2,0,1,117,LSWS
1,0.65,0.2,1,1,118,LSWS
1,0.65,0.2,0,1,119,LSWS
1,0.65,0.2,0,1,120,LSWS
2,0.65,0.2,0,1,1,LSWS
2,0.65,0.2,0,0,2,LSWS
2,0.65,0.2,1,0,3,LSWS
2,0.65,0.2,1,1,4,LSWS
2,0.65,0.2,0,1,5,LSWS
2,0.65,0.2,0,1,6,LSWS
2,0.65,0.2,1,1,7,LSWS
2,0.65,0.2,1,1,8,LSWS
2,0.65,0.2,0,1,9,LSWS
2,0.65,0.2,0,0,10,LSWS
2,0.65,0.2,1,1,11,LSWS
2,0.65,0.2,0,0,12,LSWS
2,0.65,0.2,1,1,13,LSWS
2,0.65,0.2,0,0,14,LSWS
2,0.65,0.2,1,1,15,LSWS
2,0.65,0.2,0,1,16,LSWS
2,0.65,0.2,0,1,17,LSWS
2,0.65,0.2,0,1,18,LSWS
2,0.65,0.2,1,0,19,LSWS
